District Name,School Name,School Type,Total Enrollment,Meal Program Participants,FRPM Percent (%),Expanded Learning Program,After School Education Program,Estimated Funding (USD)
Sacramento City Unified School District,Abraham Lincoln Elementary,Elementary Schools (Public),511,442,0.8649706457925636,Yes,Yes,521117.99
Sacramento City Unified School District,Alice Birney Waldorf-Inspired,Elementary Schools (Public),481,163,0.3388773388773389,Yes,Yes,192176.99
Sacramento City Unified School District,Bret Harte Elementary,Elementary Schools (Public),189,150,0.7936507936507936,Yes,Yes,176849.99
Sacramento City Unified School District,Caleb Greenwood Elementary,Elementary Schools (Public),497,122,0.2454728370221328,Yes,Yes,143837.99
Sacramento City Unified School District,Camellia Elementary,Elementary Schools (Public),344,299,0.8691860465116279,Yes,Yes,352520.99
Sacramento City Unified School District,Caroline Wenzel Elementary,Elementary Schools (Public),203,159,0.7832512315270936,Yes,Yes,187460.99
Sacramento City Unified School District,Cesar Chavez Intermediate,Elementary Schools (Public),380,356,0.9368421052631579,Yes,Yes,419723.99
Sacramento City Unified School District,Crocker/Riverside Elementary,Elementary Schools (Public),636,116,0.18238993710691823,Yes,Yes,136763.99
Sacramento City Unified School District,David Lubin Elementary,Elementary Schools (Public),455,194,0.42637362637362636,Yes,Yes,228725.99
Sacramento City Unified School District,Earl Warren Elementary,Elementary Schools (Public),417,383,0.9184652278177458,Yes,Yes,451556.99
Sacramento City Unified School District,Edward Kemble Elementary,Elementary Schools (Public),464,430,0.9267241379310345,Yes,Yes,506969.99
Sacramento City Unified School District,Elder Creek Elementary,Elementary Schools (Public),755,644,0.8529801324503311,Yes,Yes,759275.99
Sacramento City Unified School District,Ethel I. Baker Elementary,Elementary Schools (Public),616,564,0.9155844155844156,Yes,Yes,664955.99
Sacramento City Unified School District,Father Keith B. Kenny,Elementary Schools (Public),235,224,0.9531914893617022,Yes,Yes,264095.99
Sacramento City Unified School District,Genevieve Didion,Elementary Schools (Public),615,210,0.34146341463414637,Yes,Yes,247589.99
Sacramento City Unified School District,Golden Empire Elementary,Elementary Schools (Public),449,305,0.6792873051224945,Yes,Yes,359594.99
Sacramento City Unified School District,Hollywood Park Elementary,Elementary Schools (Public),260,212,0.8153846153846154,Yes,Yes,249947.99
Sacramento City Unified School District,Isador Cohen Elementary,Elementary Schools (Public),324,289,0.8919753086419753,Yes,Yes,340730.99
Sacramento City Unified School District,James Marshall Elementary,Elementary Schools (Public),334,245,0.7335329341317365,Yes,Yes,288854.99
Sacramento City Unified School District,John Bidwell Elementary,Elementary Schools (Public),276,232,0.8405797101449275,Yes,Yes,273527.99
Sacramento City Unified School District,John Cabrillo Elementary,Elementary Schools (Public),357,283,0.7927170868347339,Yes,Yes,333656.99
Sacramento City Unified School District,John D. Sloat Elementary,Elementary Schools (Public),220,203,0.9227272727272727,Yes,Yes,239336.99
Sacramento City Unified School District,Leataata Floyd Elementary,Elementary Schools (Public),221,208,0.9411764705882353,Yes,Yes,245231.99
Sacramento City Unified School District,Leonardo Da Vinci,Elementary Schools (Public),829,260,0.31363088057901084,Yes,Yes,306539.99
Sacramento City Unified School District,Mark Twain Elementary,Elementary Schools (Public),247,217,0.8785425101214575,Yes,Yes,255842.99
Sacramento City Unified School District,"Martin Luther King, Jr.",Elementary Schools (Public),327,233,0.7125382262996942,Yes,Yes,274706.99
Sacramento City Unified School District,Matsuyama Elementary,Elementary Schools (Public),437,206,0.47139588100686497,Yes,Yes,242873.99
Sacramento City Unified School District,Nicholas Elementary,Elementary Schools (Public),474,424,0.8945147679324894,Yes,Yes,499895.99
Sacramento City Unified School District,Oak Ridge Elementary,Elementary Schools (Public),432,420,0.9722222222222222,Yes,Yes,495179.99
Sacramento City Unified School District,Pacific Elementary,Elementary Schools (Public),638,591,0.9263322884012539,Yes,Yes,696788.99
